ProductID,Description,Color,Type,Location,Date,OrderNumber
CO2024AG,ASH GRAY 24GA-GRD50,ASH GRAY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024ARW,ARCTIC WHITE ,ARCTIC WHITE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024AW,ALAMO WHITE ,ALAMO WHITE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024B,BROWN ,BROWN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024BER,BERRY ,BERRY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024BK,BLACK ,BLACK,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024BR,BRICK RED ,BRICK RED,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024BS,BURNISHED SLATE ,BURNISHED SLATE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024BUR,BURGUNDY ,BURGUNDY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024BW,BONE WHITE ,BONE WHITE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CAG,CRINKLE ASH GRAY ,CRINKLE ASH GRAY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CB,CRINKLE BROWN ,CRINKLE BROWN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CBK,CRINKLE BLACK ,CRINKLE BLACK,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CBS,CRINKLE BURNISHED SLATE ,CRINKLE BURNISHED SLATE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CC,CRINKLE CHARCOAL ,CRINKLE CHARCOAL,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CG,CHARCOAL GRAY ,CHARCOAL GRAY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CH,CHARCOAL ,CHARCOAL,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CM,COPPER METALLIC ,COPPER METALLIC,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CRB,CRINKLE BURGUNDY ,CRINKLE BURGUNDY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CRG,CRINKLE GREEN ,CRINKLE GREEN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CRR,CRINKLE RED ,CRINKLE RED,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CT,CRINKLE TAUPE ,CRINKLE TAUPE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024CW,CRINKLE WHITE ,CRINKLE WHITE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024DG,DARK GRAY ,DARK GRAY,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024DR,DARK RED ,DARK RED,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024EVR,EVERGREEN ,EVERGREEN,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
CO2024GAB,GALLERY BLUE ,GALLERY BLUE,24GA-GRD50,A1-B2-C3,7/14/2025,INV-2024-001
